Time,Oxygen Level,Pulse Rate,Motion,O2 Reminder,PR Reminder
13:09:28 Jul 20 2026,96,83,0,0,0
13:09:32 Jul 20 2026,96,83,0,0,0
13:09:36 Jul 20 2026,97,83,4,0,0
13:09:40 Jul 20 2026,97,83,14,0,0
13:09:44 Jul 20 2026,97,83,14,0,0
13:09:48 Jul 20 2026,97,83,0,0,0
13:09:52 Jul 20 2026,97,81,0,0,0
13:09:56 Jul 20 2026,96,76,0,0,0
13:10:00 Jul 20 2026,95,72,0,0,0
13:10:04 Jul 20 2026,95,72,1,0,0
13:10:08 Jul 20 2026,96,71,0,0,0
13:10:12 Jul 20 2026,96,71,0,0,0
13:10:16 Jul 20 2026,96,71,1,0,0
13:10:20 Jul 20 2026,96,69,0,0,0
13:10:24 Jul 20 2026,96,69,2,0,0
13:10:28 Jul 20 2026,96,70,12,0,0
13:10:32 Jul 20 2026,96,70,1,0,0
13:10:36 Jul 20 2026,96,70,0,0,0
13:10:40 Jul 20 2026,96,72,0,0,0
13:10:44 Jul 20 2026,96,70,0,0,0
13:10:48 Jul 20 2026,95,71,0,0,0
13:10:52 Jul 20 2026,96,70,0,0,0
13:10:56 Jul 20 2026,96,70,0,0,0
13:11:00 Jul 20 2026,96,68,0,0,0
13:11:04 Jul 20 2026,95,70,0,0,0
13:11:08 Jul 20 2026,95,70,0,0,0
13:11:12 Jul 20 2026,95,70,2,0,0
13:11:16 Jul 20 2026,96,70,0,0,0
13:11:20 Jul 20 2026,96,69,0,0,0
13:11:24 Jul 20 2026,96,71,0,0,0
13:11:28 Jul 20 2026,95,70,0,0,0
13:11:32 Jul 20 2026,95,67,0,0,0
13:11:36 Jul 20 2026,95,66,0,0,0
13:11:40 Jul 20 2026,94,67,0,0,0
13:11:44 Jul 20 2026,94,68,0,0,0
13:11:48 Jul 20 2026,94,69,0,0,0
13:11:52 Jul 20 2026,95,70,0,0,0
13:11:56 Jul 20 2026,95,71,0,0,0
13:12:00 Jul 20 2026,95,70,24,0,0
13:12:04 Jul 20 2026,95,70,4,0,0
13:12:08 Jul 20 2026,96,73,0,0,0
13:12:12 Jul 20 2026,97,74,0,0,0
13:12:16 Jul 20 2026,97,76,0,0,0
13:12:20 Jul 20 2026,96,73,0,0,0
13:12:24 Jul 20 2026,96,73,4,0,0
13:12:28 Jul 20 2026,95,72,0,0,0
13:12:32 Jul 20 2026,95,69,0,0,0
13:12:36 Jul 20 2026,96,69,0,0,0
13:12:40 Jul 20 2026,95,70,11,0,0
13:12:44 Jul 20 2026,95,70,14,0,0
13:12:48 Jul 20 2026,95,70,11,0,0
13:12:52 Jul 20 2026,95,70,9,0,0
13:12:56 Jul 20 2026,95,70,9,0,0
13:13:00 Jul 20 2026,95,70,7,0,0
13:13:04 Jul 20 2026,95,70,9,0,0
13:13:08 Jul 20 2026,95,70,17,0,0
13:13:12 Jul 20 2026,95,70,13,0,0
13:13:16 Jul 20 2026,95,70,2,0,0
13:13:20 Jul 20 2026,95,67,9,0,0
13:13:24 Jul 20 2026,95,67,8,0,0
13:13:28 Jul 20 2026,96,71,1,0,0
13:13:32 Jul 20 2026,96,73,8,0,0
13:13:36 Jul 20 2026,96,73,19,0,0
13:13:40 Jul 20 2026,96,73,14,0,0
13:13:44 Jul 20 2026,96,73,19,0,0
13:13:48 Jul 20 2026,96,73,33,0,0
13:13:52 Jul 20 2026,96,73,33,0,0
13:13:56 Jul 20 2026,96,73,25,0,0
13:14:00 Jul 20 2026,96,73,2,0,0
13:14:04 Jul 20 2026,95,79,3,0,0
13:14:08 Jul 20 2026,95,80,22,0,0
13:14:12 Jul 20 2026,95,80,3,0,0
13:14:16 Jul 20 2026,95,78,1,0,0
13:14:20 Jul 20 2026,95,72,4,0,0
13:14:24 Jul 20 2026,96,72,15,0,0
13:14:28 Jul 20 2026,96,72,12,0,0
13:14:32 Jul 20 2026,96,72,36,0,0
13:14:36 Jul 20 2026,96,72,10,0,0
13:14:40 Jul 20 2026,96,72,15,0,0
13:14:44 Jul 20 2026,96,72,51,0,0
13:14:48 Jul 20 2026,96,72,13,0,0
13:14:52 Jul 20 2026,95,74,7,0,0
13:14:56 Jul 20 2026,95,74,6,0,0
13:15:00 Jul 20 2026,95,75,3,0,0
13:15:04 Jul 20 2026,95,75,10,0,0
13:15:08 Jul 20 2026,94,77,16,0,0
13:15:12 Jul 20 2026,94,77,18,0,0
13:15:16 Jul 20 2026,93,79,4,0,0
13:15:20 Jul 20 2026,93,79,5,0,0
13:15:24 Jul 20 2026,93,79,3,0,0
13:15:28 Jul 20 2026,93,79,20,0,0
13:15:32 Jul 20 2026,93,79,4,0,0
